1880 -0.493
1880.083333 -0.482
1880.166667 -0.665
1880.250000 -0.605
1880.333333 -0.621
1880.416667 -0.475
1880.500000 -0.307
1880.583333 -0.165
1880.666667 0.134
1880.750000 0.382
1880.833333 0.544
1880.916667 0.415
1881 0.376
1881.083333 0.338
1881.166667 0.393
1881.250000 0.637
1881.333333 0.573
1881.416667 0.469
1881.500000 0.109
1881.583333 0.027
1881.666667 0.073
1881.750000 0.049
1881.833333 0.006
1881.916667 -0.083
1882 -0.292
1882.083333 -0.525
1882.166667 -0.372
1882.250000 0.141
1882.333333 0.112
1882.416667 -0.173
1882.500000 -0.415
1882.583333 -0.163
1882.666667 -0.218
1882.750000 -0.225
1882.833333 -0.407
1882.916667 -0.309
1883 -0.130
1883.083333 -0.293
1883.166667 -0.323
1883.250000 -0.069
1883.333333 -0.188
1883.416667 0.060
1883.500000 0.174
1883.583333 -0.093
1883.666667 -0.055
1883.750000 -0.014
1883.833333 0.136
1883.916667 0.001
1884 -0.076
1884.083333 -0.134
1884.166667 0.226
1884.250000 0.518
1884.333333 0.747
1884.416667 0.238
1884.500000 0.579
1884.583333 0.538
1884.666667 0.577
1884.750000 0.705
1884.833333 0.782
1884.916667 0.890
1885 0.749
1885.083333 0.693
1885.166667 0.636
1885.250000 0.430
1885.333333 0.626
1885.416667 0.498
1885.500000 0.363
1885.583333 0.608
1885.666667 0.799
1885.750000 0.973
1885.833333 0.997
1885.916667 1.116
1886 0.425
1886.083333 0.323
1886.166667 0.219
1886.250000 0.165
1886.333333 -0.677
1886.416667 -0.848
1886.500000 -0.669
1886.583333 -0.759
1886.666667 -0.771
1886.750000 -0.661
1886.833333 -0.739
1886.916667 -0.843
1887 -0.648
1887.083333 -0.463
1887.166667 -0.696
1887.250000 -0.724
1887.333333 -0.595
1887.416667 -0.227
1887.500000 -0.376
1887.583333 -0.515
1887.666667 -0.275
1887.750000 0.026
1887.833333 0.310
1887.916667 0.285
1888 0.402
1888.083333 0.941
1888.166667 0.821
