1880.5000  44.9186
1880.5833  45.9891
1880.6667  37.8225
1880.7500  34.2519
1880.8333  37.3930
1880.9167  35.9090
1881.0000  37.9731
1881.0833  42.5051
1881.1667  59.6013
1881.2500  63.0116
1881.3333  49.2680
1881.4167  35.9154
1881.5000  11.5725
1881.5833  18.1013
1881.6667  37.5564
1881.7500  58.0692
1881.8333  56.3513
1881.9167  57.5789
1882.0000  59.3064
1882.0833  53.5692
1882.1667  47.4699
1882.2500  46.9827
1882.3333  36.5083
1882.4167  28.9442
1882.5000  9.4314
1882.5833  -12.3492
1882.6667  -36.3197
1882.7500  -58.5171
1882.8333  -65.3244
1882.9167  -66.0426
1883.0000  -73.1826
1883.0833  -71.1001
1883.1667  -75.6835
1883.2500  -73.3626
1883.3333  -51.1539
1883.4167  -36.3009
1883.5000  -1.3742
1883.5833  25.4966
1883.6667  46.0028
1883.7500  40.0115
1883.8333  35.2647
1883.9167  37.2398
1884.0000  41.0532
1884.0833  38.1571
1884.1667  28.1993
1884.2500  20.2698
1884.3333  24.3916
1884.4167  17.8531
1884.5000  8.2666
1884.5833  -19.8583
1884.6667  -32.9086
1884.7500  -21.3049
1884.8333  -15.3669
1884.9167  -17.6885
1885.0000  -14.7601
1885.0833  -16.9005
1885.1667  -12.8203
1885.2500  -0.6223
1885.3333  -2.2572
1885.4167  -11.7794
1885.5000  -6.9992
1885.5833  10.8539
1885.6667  -4.2422
1885.7500  -25.6427
1885.8333  -25.4574
1885.9167  -30.2948
1886.0000  -36.6884
1886.0833  -25.4798
1886.1667  -19.9800
1886.2500  -23.8857
1886.3333  -39.5471
1886.4167  -42.0977
1886.5000  -42.3556
1886.5833  -60.2793
1886.6667  -46.4489
1886.7500  -27.5084
1886.8333  -22.4166
1886.9167  -17.9219
1887.0000  -15.9952
1887.0833  -22.0697
1887.1667  -19.8366
1887.2500  -18.4720
1887.3333  -2.1507
1887.4167  5.5936
1887.5000  4.6031
1887.5833  12.8555
1887.6667  8.5029
1887.7500  -7.9833
1887.8333  -17.3109
1887.9167  -14.6947
1888.0000  -20.8760
1888.0833  -22.4752
1888.1667  -28.4165
1888.2500  -37.6457
1888.3333  -38.2728
