t,F
1.883750000000000000e+03,3.950696829636265761e+01
1.883833333000000039e+03,3.950689606085063588e+01
1.883916666999999961e+03,3.950682174564652627e+01
1.884000000000000000e+03,3.950674724493770640e+01
1.884083333000000039e+03,3.950667161166178687e+01
1.884166666999999961e+03,3.950659844945046473e+01
1.884250000000000000e+03,3.950652055103407889e+01
1.884333333000000039e+03,3.950641035715699445e+01
1.884416666999999961e+03,3.950632924718414074e+01
1.884500000000000000e+03,3.950621678899288014e+01
1.884583333000000039e+03,3.950613436170033310e+01
1.884666666999999961e+03,3.380027455414177240e+01
1.884750000000000000e+03,3.378650723830322988e+01
1.884833333000000039e+03,3.377271946955436022e+01
1.884916666999999961e+03,3.375890939663218404e+01
1.885000000000000000e+03,3.374508069502120122e+01
1.885083333000000039e+03,3.373123151622615978e+01
1.885166666999999961e+03,3.371736000205493156e+01
1.885250000000000000e+03,3.370346984322809192e+01
1.885333333000000039e+03,3.368955918432423857e+01
1.885416666999999961e+03,3.367562616022180322e+01
1.885500000000000000e+03,3.366370760271594520e+01
1.885583333000000039e+03,3.364973806219962427e+01
1.885666666999999961e+03,3.408863024518547036e+01
1.885750000000000000e+03,3.408030436163205934e+01
1.885833333000000039e+03,3.407196932393711108e+01
1.885916666999999961e+03,3.407070553525885259e+01
1.886000000000000000e+03,3.406235813258267342e+01
1.886083333000000039e+03,3.405919799555496752e+01
1.886166666999999961e+03,3.405083482950631435e+01
1.886250000000000000e+03,3.404766684057568682e+01
1.886333333000000039e+03,3.403929147200716443e+01
1.886416666999999961e+03,3.403611382594051094e+01
1.886500000000000000e+03,3.402772444644091365e+01
1.886583333000000039e+03,3.402454071577245998e+01
1.886666666999999961e+03,1.542528539879465299e+01
1.886750000000000000e+03,1.542407809939099295e+01
1.886833333000000039e+03,1.542287924696716495e+01
1.886916666999999961e+03,1.542168849831567279e+01
1.887000000000000000e+03,1.542050657726814045e+01
1.887083333000000039e+03,1.541933313796365468e+01
1.887166666999999961e+03,1.541816784517123651e+01
1.887250000000000000e+03,1.541701140678012116e+01
1.887333333000000039e+03,1.541586348490094949e+01
1.887416666999999961e+03,1.541472375229361802e+01
1.887500000000000000e+03,1.541359290087541467e+01
1.887583333000000039e+03,1.541247060074280917e+01
1.887666666999999961e+03,1.560982464426487049e+01
1.887750000000000000e+03,1.560925475183615418e+01
1.887833333000000039e+03,1.560868468833402112e+01
1.887916666999999961e+03,1.560811381084940130e+01
1.888000000000000000e+03,1.560754341329323580e+01
1.888083333000000039e+03,1.560740450257309497e+01
1.888166666999999961e+03,1.560683267494783699e+01
1.888250000000000000e+03,1.560669241544663244e+01
1.888333333000000039e+03,1.560612045353747135e+01
1.888416666999999961e+03,1.560597820714259854e+01
1.888500000000000000e+03,1.560540547451439330e+01
1.888583333000000039e+03,1.560526253199276958e+01
1.888666666999999961e+03,1.875527933996626473e+01
1.888750000000000000e+03,1.876159524637105136e+01
1.888833333000000039e+03,1.876791887714643181e+01
1.888916666999999961e+03,1.877425251476566359e+01
1.889000000000000000e+03,1.878059160593545229e+01
1.889083333000000039e+03,1.878693843127979335e+01
1.889166666999999961e+03,1.879329527874342531e+01
1.889250000000000000e+03,1.879965758401456100e+01
1.889333333000000039e+03,1.880602763318933057e+01
1.889416666999999961e+03,1.881240771968100134e+01
1.889500000000000000e+03,1.881879326816440923e+01
1.889583333000000039e+03,1.882518657020539266e+01
1.889666666999999961e+03,1.535285505354102753e+01
1.889750000000000000e+03,1.535330460371166339e+01
1.889833333000000039e+03,1.535376465349358455e+01
1.889916666999999961e+03,1.535423534820763614e+01
1.890000000000000000e+03,1.535471643404730102e+01
1.890083333000000039e+03,1.535520805340477146e+01
1.890166666999999961e+03,1.535571036035491943e+01
1.890250000000000000e+03,1.535622308354629872e+01
1.890333333000000039e+03,1.535674637412103571e+01
1.890416666999999961e+03,1.535728039491938723e+01
1.890500000000000000e+03,1.535782485702141287e+01
1.890583333000000039e+03,1.535837992033058264e+01
1.890666666999999961e+03,3.656906991166762566e+01
1.890750000000000000e+03,3.657100473927670947e+01
1.890833333000000039e+03,3.657294263482665997e+01
1.890916666999999961e+03,3.657488638359276223e+01
1.891000000000000000e+03,3.657683041065900653e+01
1.891083333000000039e+03,3.657873922379807397e+01
1.891166666999999961e+03,3.658069216828447878e+01
1.891250000000000000e+03,3.658260711977160184e+01
1.891333333000000039e+03,3.658456340482427294e+01
1.891416666999999961e+03,3.658648727420223423e+01
1.891500000000000000e+03,3.658844968001240971e+01
1.891583333000000039e+03,3.659037689251894676e+01
1.891666666999999961e+03,3.935263319630210077e+01
1.891750000000000000e+03,3.936037528195478075e+01
1.891833333000000039e+03,3.936811130621519794e+01
1.891916666999999961e+03,3.937584338632280634e+01
1.892000000000000000e+03,3.938356724689188582e+01
1.892083333000000039e+03,3.939128500750801720e+01
1.892166666999999961e+03,3.939642702587151035e+01
1.892250000000000000e+03,3.940413543762744553e+01
1.892333333000000039e+03,3.940927072051714930e+01
1.892416666999999961e+03,3.941697186101562522e+01
1.892500000000000000e+03,3.942210249795569155e+01
1.892583333000000039e+03,3.942979208747984643e+01
1.892666666999999961e+03,4.189021943427416517e+01
1.892750000000000000e+03,4.189160661141719544e+01
1.892833333000000039e+03,4.189299149846785042e+01
1.892916666999999961e+03,4.189437319580844132e+01
1.893000000000000000e+03,4.189575351051082208e+01
1.893083333000000039e+03,4.189713154218282654e+01
1.893166666999999961e+03,4.189850639352870587e+01
