year,F
1.888749999999992042e+03,-1.982249777204710028e+01
1.888833333333325299e+03,-8.190772938167702577e+00
1.888916666666658557e+03,-2.522753666240180337e+01
1.888999999999991815e+03,-3.854231753787762216e+01
1.889083333333325072e+03,-2.116657170667235732e+01
1.889166666666658330e+03,9.053214816124498299e+00
1.889249999999991587e+03,7.518611049578808547e+00
1.889333333333324845e+03,-2.741401719070363896e+01
1.889416666666658102e+03,-3.991326113848089818e+01
1.889499999999991360e+03,-1.514697148731023546e+01
1.889583333333324617e+03,-1.198293002489688774e+01
1.889666666666657875e+03,-3.565376120670613602e+01
1.889749999999991132e+03,-4.233530561664240111e+01
1.889833333333324390e+03,-1.596386461151677238e+01
1.889916666666657648e+03,9.769283324485684261e+00
1.889999999999990905e+03,-2.292055070277957185e+00
1.890083333333324163e+03,-3.307765191859836307e+01
1.890166666666657420e+03,-3.008152871236557502e+01
1.890249999999990678e+03,-2.511935730257825128e+00
1.890333333333323935e+03,-1.520648276052592962e+01
1.890416666666657193e+03,-4.836084669814815129e+01
1.890499999999990450e+03,-4.595892748546354767e+01
1.890583333333323708e+03,-1.248661467386085455e+01
1.890666666666656965e+03,5.645096136570590062e+00
1.890749999999990223e+03,-1.362450711554965999e+01
1.890833333333323480e+03,-3.414115535553095526e+01
1.890916666666656738e+03,-2.037026289205482144e+01
1.890999999999989996e+03,6.107270162136689606e+00
1.891083333333323253e+03,-1.289513255828329008e+01
1.891166666666656511e+03,-4.963721746465792251e+01
1.891249999999989768e+03,-3.829882971001527636e+01
1.891333333333323026e+03,-1.524252819698290295e+00
1.891416666666656283e+03,3.128103031123039557e+00
1.891499999999989541e+03,-2.331036233879468256e+01
1.891583333333322798e+03,-3.109403692440324463e+01
1.891666666666656056e+03,-5.873438964326005873e+00
1.891749999999989313e+03,1.001805710634443969e+01
1.891833333333322571e+03,-2.402772885076650056e+01
1.891916666666655829e+03,-5.807427863291812287e+01
1.891999999999989086e+03,-3.704507716898204706e+01
1.892083333333322344e+03,-5.672886199743038205e+00
1.892166666666655601e+03,-1.523397160117680471e+01
1.892249999999988859e+03,-4.111266704761231239e+01
1.892333333333322116e+03,-3.120069446379576661e+01
1.892416666666655374e+03,3.915195565672576095e+00
1.892499999999988631e+03,1.327825606175573370e+01
